no,titleTe,titleEn,category,artist,album,year,sourceUrl,audioFile,originalAudioFile,lyricsLines,transliterationLines
078,వయ్యారి భామ రో,Vayyari Bama Ro,Romance,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,078.mp3,78_Vayyari Bama Ro.mp3,11,11
079,ఎన్నియలో,Yeniyallo,Festival,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,079.mp3,79_Yeniyallo.mp3,4,4
080,బాపనోళ్ళ పిల్ల,Bapanolla Pilla,Romance,Sujatha,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,080.mp3,80_Bapanolla Pilla.mp3,4,4
081,పోరు బందరు,Poru Bandaru,Protest,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,081.mp3,81_Poru Bandaru.mp3,5,5
082,అందరికి అమ్మ,Andariki Amma,Family,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,082.mp3,82_Andariki Amma.mp3,10,10
083,గజ్జెలెడ్ల బండి,Gajala Edla Bandi,Romance,Balu,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,083.mp3,83_Gajala Edla Bandi.mp3,8,8
084,పంట సేను,Panta Senu,Romance,Sarangapani,Old Is Gold Janapada Geethalu,2010,https://www.jiosaavn.com/album/old-is-gold-janapada-gee thalu/5mHz3qTEp8g_,084.mp3,84_Panta Senu.mp3,7,7
085,ఎల్లు ఎల్లు ఎల్లమ్మ,Yellu Yellu Yellamma,Devotional,,,,https://www.youtube.com/watch?v=2_EXzhBse28,085.mp3,85_Yellu Yellu Yellamma.mp3,5,5
086,లష్కర్ల వెలసిన ఓ రాణీ,Laskarlo Velasina O Rani,Devotional,,,,https://www.youtube.com/watch?v=2_EXzhBse28,086.mp3,86_Laskarlo Velasina O Rani.mp3,5,5
087,గుభ గుభ గుగ్గిలాలు,Gubha Gubha Guggilalu,Devotional,Shankar,,,https://www.youtube.com/watch?v=2_EXzhBse28,087.mp3,87_Gubha Gubha Guggilalu.mp3,4,4
088,బోర బండ మీద,Bora Banda Meedha,Devotional,,,,https://www.youtube.com/watch?v=2_EXzhBse28,088.mp3,88_Bora Banda Meedha.mp3,4,4
089,పోదాం పదే జాతరో,Podam Pade Jatharo,Festival,D. Sarangapani,,,https://www.youtube.com/watch?v=2_EXzhBse28,089.mp3,89_Podam Pade Jatharo.mp3,5,5
090,ఎదురులేని దేవతవమ్మా,Eduruleni Devathavamma,Devotional,"Shankar, Ramesh",,,https://www.youtube.com/watch?v=2_EXzhBse28,090.mp3,90_Eduruleni Devathavamma.mp3,4,4
091,అమ్మ రావే దేవి రావే,Amma Rave Devi Rave,Devotional,Ramesh,,,https://www.youtube.com/watch?v=2_EXzhBse28,091.mp3,91_Amma Rave Devi Rave.mp3,18,18
092,దండాలు దండాలు,Dandalu Dandalu,Devotional,"Ramesh, Ramu",,,https://www.youtube.com/watch?v=2_EXzhBse28,092.mp3,92_Dandalu Dandalu.mp3,5,5
093,చలో విజయగీతి,Chalo Vijayageeti,Elegy,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,093.mp3,93_Chalo Vijayageeti.mp3,10,10
094,జై జై తెలంగాణ చలో,Jai Jai Telangana Chalo,Movement,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,094.mp3,94_Jai Jai Telangana Chalo.mp3,10,10
095,మొగులుపై ఎన్నెలా,Mogulupai Vennela,Tribal Protest,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,095.mp3,95_Mogulupai Vennela.mp3,6,6
096,చినుకు చినుకు,Sinuku Sinuku,Nature,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,096.mp3,96_Sinuku Sinuku.mp3,8,8
097,కోయిల నల్ల కోయిల,Koyila Nalla Koyila,Social Justice,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,097.mp3,97_Koyila Nalla Koyila.mp3,6,6
098,ఆదివాసుల,Aadivaasula,Tribal Rights,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,098.mp3,98_Aadivaasula.mp3,14,14
099,తెలుగింటి వెలుగు రేఖ,Telunginti Velugu Rekha,Tribute,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,099.mp3,99_Telunginti Velugu Rekha.mp3,7,7
100,రేలా రేలా రే,Rela Rela Re,Tribal,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,100.mp3,100_Rela Rela Re.mp3,17,17
101,బంగారు మాయలేడి,Bangaru Mayaledi,Social Tragedy,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,101.mp3,101_Bangaru Mayaledi.mp3,8,8
102,చలో ధూమ్ ధామ్,Chalo Dhoom Dhaam,Protest,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,102.mp3,102_Chalo Dhoom Dhaam.mp3,4,4
103,ఆడుదాం డప్పుల,Aadudaam Dappulla,Labor Rights,Vimalakka,Vimalakka Hits,2023,https://music.apple.com/us/album/vimalakka-hits/1717043510,103.mp3,103_Aadudaam Dappulla.mp3,5,5
